Time,Battery_Power_kW,SOC,Electricity_Price,PV_Power_kW,Wind_Power_kW,Load_kW,grid_purchase_cost,grid_sales_revenue,battery_loss_cost,battery_aging_cost,network_loss_cost,total_revenue,Battery_Remaining_Capacity_Percent,Battery_Cycles,Battery_Avg_DoD_Percent,Line_Losses_kW,Grid_Power_kW,Voltage_Bus_0_pu,Voltage_Bus_1_pu,Voltage_Bus_2_pu,Voltage_Bus_3_pu,Line_0_Loading_Percent,Line_1_Loading_Percent,Line_2_Loading_Percent,Line_3_Loading_Percent
2024-12-31,-50153194.538192295,0.0,0.21,84.04532540126043,28.881827444051343,143.0112558532403,10532177.170682013,0.0,561550127874.1847,0.0,0.0,-280785596114.263,100.0,0.0,50.0,1003066.750988963,50153224.62229529,1.0,1.0,1.0,1.0,0,0,0,0
2025-01-01,-51771049.8458924,0.0,0.2,22.00512650834761,61.4362577303049,130.77467546324417,10354219.435836725,0.0,598363752338.7083,0.0,0.0,-299192230388.79,100.0,0.0,50.0,1035423.6124113573,51771097.1791836,1.0,1.0,1.0,1.0,0,0,0,0
2025-01-02,-53388885.15357281,0.0,0.21,30.857738844313467,45.24625340607363,127.82144460358784,11211676.742915284,0.0,636345594053.2058,0.0,0.0,-318184008703.3458,100.0,0.0,50.0,1067780.2595003482,53388936.87102517,1.0,1.0,1.0,1.0,0,0,0,0
2025-01-03,-55006730.4612239,0.0,0.25,67.75825775461647,46.94981440374088,152.56879504309336,13751692.080486696,0.0,675496346490.4366,0.0,0.0,-337761924937.2988,100.0,0.0,50.0,1100137.6606003789,55006768.321946785,1.0,1.0,1.0,1.0,0,0,0,0
2025-01-04,-56624595.76898025,0.0,0.18,35.50698566951056,34.200127967299025,153.03769692608768,10192442.237921437,0.0,715816284153.54,0.0,0.0,-357918334519.00793,100.0,0.0,50.0,1132494.9761335435,56624679.09956355,1.0,1.0,1.0,1.0,0,0,0,0
2025-01-05,-58242441.07666058,0.0,0.19,22.8583462199105,60.06211184893031,148.63512574726093,11066076.290352369,0.0,757304410170.4292,0.0,0.0,-378663271161.50494,100.0,0.0,50.0,1164851.7942357266,58242506.791328244,1.0,1.0,1.0,1.0,0,0,0,0
2025-01-06,-59860276.38434338,0.0,0.2,74.24149048024576,0.0,134.52918553685438,11972067.334407687,0.0,799960948477.038,0.0,0.0,-399992446305.8534,100.0,0.0,50.0,1197208.2182705782,59860336.67203842,1.0,1.0,1.0,1.0,0,0,0,0
2025-01-07,-61478111.692004256,0.0,0.23,42.68409600909891,45.81337389254221,128.73481919217875,14139974.943751315,0.0,843786151901.5083,0.0,0.0,-421907215925.6979,100.0,0.0,50.0,1229564.808536469,61478151.929353535,1.0,1.0,1.0,1.0,0,0,0,0
2025-01-08,-63095956.99970414,0.0,0.22,70.79889210514652,9.814893181967136,145.1585247423404,13881124.739777591,0.0,888780302168.8994,0.0,0.0,-444404032209.1895,100.0,0.0,50.0,1261922.0431645776,63096021.544443585,1.0,1.0,1.0,1.0,0,0,0,0
2025-01-09,-64712332.42270521,0.0,0.18,70.21899302297138,38.792641395208456,138.32426982470884,11648225.11236131,0.0,934900660593.5815,0.0,0.0,-467461978521.90314,100.0,0.0,50.0,1294249.4149395006,64712361.73534061,1.0,1.0,1.0,1.0,0,0,0,0
2025-01-10,-66330177.73038586,0.0,0.19,33.38711318114535,30.997731373113254,129.4170705756538,12602746.124896258,0.0,982231108194.4403,0.0,0.0,-491128156843.34503,100.0,0.0,50.0,1326606.1429491288,66330242.76261187,1.0,1.0,1.0,1.0,0,0,0,0
2025-01-11,-67949512.92282112,0.0,0.17,80.73631461745381,25.906311225959122,139.86495348311556,11551422.844675291,0.0,1030775437155.4012,0.0,0.0,-515399270000.5453,100.0,0.0,50.0,1358993.055755492,67949546.14514874,1.0,1.0,1.0,1.0,0,0,0,0
